video_url,title,channel_id,views,likes,publishDate,genre,ads_yn,tag1,subscribers,totalViews,ch_avg_views,genre_weight,date_from_recent,date_from_recent_week,score,duration_min,title_token,thumbnail,thumbnail_labels,thumbnail_colors,thumbnail_text,thumbnail_text_ratio,tag,thumbnail_text_token,thumbnail_labels_translate
https://www.youtube.com/watch?v=pMJtqx3x8wY,한입주께...나한테 오지마ㅋㅋㅋㅋ,UCn59UWMhtPvaRKyZxmBbmgA,2001197,13416.0,2022-12-01,Pets & Animals,1,동물,18600.0,4899473.0,37688.0,0.0283700758944705,95.0,13.0,53.09905009552112,0.12,"['입주', '나', '오지마']",,,,,,['동물'],,
https://www.youtube.com/watch?v=G0n3MTdcqKs,이 가격에 이런차를??! 국산차까지 잡겠다는 신형 SUV가 대박이라는 이유!,UCCbLQtdzoIJB-Ah6_oWFsoA,2137171,3457.0,2022-11-12,Autos & Vehicles,1,자동차,203000.0,131191121.0,219751.0,0.0430470224470947,114.0,16.0,9.725421044727897,5.27,"['이', '가격', '차', '국산', '차', '잡겠다는', '신형', '가', '대박', '이유']",https://img.youtube.com/vi/G0n3MTdcqKs/0.jpg,"['Vehicle', 'Car', 'Wheel', 'Tire', 'Hood', 'Automotive lighting', 'Automotive tire', 'Motor vehicle', 'Automotive design', 'Bumper']","[(244.0, 242.0, 99.0), (202.0, 202.0, 200.0), (19.0, 20.0, 21.0), (128.0, 116.0, 15.0)]","한국에 온다!
ALL
4천만원대!",0.3,['자동차'],"['한국', '온다']","['차량', '자동차', '바퀴', '타이어', '후드', '자동차 조명', '자동차 타이어', '자동차', '자동차 디자인', '범퍼']"
https://www.youtube.com/watch?v=v9is7pn3W_w,일방통행 직진 서행하는데 어린 여자아이가 갑자기 튀어나와서 교통사고 날뻔했어요 블랙박스 영상 김톰슨,UCjdtJTIpHyfSnt4_7hjptdg,5189,3.0,2022-10-07,Autos & Vehicles,1,자동차,7660.0,5367245.0,924.0,0.0430470224470947,150.0,21.0,5.615800865800866,0.17,"['일방', '통행', '직진', '서행', '하는데', '어린', '여자아이', '갑자기', '튀어나와서', '교통사고', '날', '뻔했어요', '블랙박스', '영상', '김', '톰슨']",https://img.youtube.com/vi/v9is7pn3W_w/0.jpg,"['Asphalt', 'Road surface', 'Font', 'Urban design', 'Sky', 'Road', 'City', 'Darkness', 'Advertising', 'Brand']","[(87.0, 88.0, 89.0), (235.0, 243.0, 246.0), (113.0, 115.0, 116.0), (58.0, 55.0, 55.0)]","김톰슨 블랙박스
T
일방통행
희방
1
Id2212022 10/06 15:31:27",0.13,['자동차'],"['김', '톰슨', '블랙박스', '일방', '통행', '희', '방']","['아스팔트', '도로 표면', '폰트', '도시 디자인', '하늘', '도로', '도시', '어둠', '광고하는', '상표']"
https://www.youtube.com/watch?v=QJFILWNHbpY,♡˚ ‧｡♥｡남자친구가 2번 반하는 쌩얼st 메이크업 필수템 추천♡˚ ‧｡♥｡,UCRH6Eng69qsXTlSoSzgzTkQ,227257,151.0,2022-12-11,People & Blogs,1,뷰티 & 메이크업,130000.0,12044619.0,52827.0,0.0982411757619563,85.0,12.0,4.301910008139777,9.13,"['남자친구', '번', '반하는', '쌩얼', '메이크업', '필수', '템', '추천']",https://img.youtube.com/vi/QJFILWNHbpY/0.jpg,"['Nose', 'Skin', 'Lip', 'Chin', 'Eyebrow', 'Eye', 'Facial expression', 'Eyelash', 'Human', 'Flash photography']","[(17.0, 11.0, 10.0), (202.0, 196.0, 189.0), (223.0, 186.0, 170.0), (203.0, 131.0, 159.0)]","쌩얼이 더
이쁜데?
B",0.23,['뷰티 & 메이크업'],"['쌩얼', '더', '이쁜데']","['코', '피부', '말뿐인', '턱', '눈썹', '눈', '표정', '속눈썹', '인간', '플래시 촬영']"
https://www.youtube.com/watch?v=mosfTVw7cvA,차갑포함 3천만원대 1종보통면허 운전가능?!!  가격 참 놀랍네요~ 국내최대 버스캠피카 전시장!! 전액할부도 가능하답니다. #카운티캠핑카#이카운티캠핑카#뉴카운티캠핑카#1종보통카운티,UCpdI_QukHzpEy6xPaEPCP5Q,355610,283.0,2022-10-25,Autos & Vehicles,1,자동차,133000.0,48780760.0,84396.0,0.0430470224470947,132.0,18.0,4.213588321721408,28.83,"['차갑', '포함', '종보', '통', '면허', '운전', '가능', '가격', '참', '놀랍네요', '국내', '최대', '버스', '캠', '피카', '전시장', '전액', '할부', '가능하답니다', '카운티', '캠핑카', '뉴', '카운티', '캠핑카', '종보', '통', '카운티']",https://img.youtube.com/vi/mosfTVw7cvA/0.jpg,"['Vehicle', 'Land vehicle', 'Wheel', 'Tire', 'Bus', 'Motor vehicle', 'Automotive lighting', 'Automotive parking light', 'Mode of transport', 'Automotive design']","[(117.0, 156.0, 214.0), (240.0, 228.0, 165.0), (230.0, 244.0, 246.0), (60.0, 88.0, 140.0)]","치포함 5천만원대카운티
보통 전액할부가능!!
hot
Cay
Toatio",0.17,['자동차'],"['치', '포함', '보통', '전액', '할부', '가능']","['차량', '육상 차량', '바퀴', '타이어', '버스', '자동차', '자동차 조명', '자동차 주차등', '운송 수단', '자동차 디자인']"
https://www.youtube.com/watch?v=cLFNh4Y6SNg,"100만원대 명품백 추천, 로고가 없어도 예쁜 걸 사세요! (보테가베네타 나눔 이벤트함?)",UCB31aGWC8ToRsIwfwxREgdg,473787,2178.0,2022-10-05,Howto & Style,1,명품,202000.0,31290031.0,116320.0,0.0743484720716379,152.0,21.0,4.073134456671252,15.5,"['명품', '추천', '로고', '없어도', '예쁜', '걸', '사세요', '보테가베네타', '나눔', '이벤트', '함']",https://img.youtube.com/vi/cLFNh4Y6SNg/0.jpg,"['Shorts', 'Goggles', 'Sunglasses', 'Product', 'Sleeve', 'Jersey', 'Vision care', 'Font', 'Sportswear', 'Trunks']","[(13.0, 12.0, 14.0), (240.0, 238.0, 235.0), (206.0, 193.0, 161.0), (238.0, 230.0, 125.0)]","로고 큰 거 사지마...
MARNI
명품백 구독자 이벤트
BOTTEGA VENETA
돈 써본 언니가 추천하는
100만원대 명품백",0.2,"['명품', '코디 & 룩북', '패션 & 뷰티']","['로고', '큰', '거', '사지마', '명품', '독자', '이벤트', '돈', '써', '본', '언니', '추천', '하는', '명품']","['반바지', '고글', '색안경', '제품', '소매', '저지', '시력 관리', '폰트', '운동복', '트렁크스']"
https://www.youtube.com/watch?v=-KG16i0Vylg,소주맛집 여기입니다?? | 만취캠핑? | 갑작이 번개폭우..?비야 그만 따라다녀...지겨워 | 어닝무너짐,UCVx_P0hshFaeCSu-hhbdoJQ,627232,2402.0,2022-09-24,Travel & Events,1,레스토랑,122000.0,20631834.0,155127.0,0.0172469180420029,163.0,23.0,4.043345130119192,34.7,"['소주', '맛집', '여기', '입니다', '만취', '캠핑', '갑작', '번개', '폭우', '비야', '그만', '따라다녀', '지겨워', '어닝', '무너짐']",https://img.youtube.com/vi/-KG16i0Vylg/0.jpg,"['Plant', 'Flash photography', 'Happy', 'Font', 'Tree', 'Grass', 'Adaptation', 'T-shirt', 'Fun', 'Art']","[(90.0, 84.0, 82.0), (7.0, 5.0, 7.0), (120.0, 114.0, 111.0), (61.0, 56.0, 55.0)]","비오는 계곡
어린
구명조끼로 괜찮겠지?",0.21,['레스토랑'],"['비오는', '계곡', '어린', '구명조끼', '괜찮겠지']","['식물', '플래시 촬영', '행복하다', '폰트', '나무', '잔디', '적응', '티셔츠', '재미있는', '미술']"
https://www.youtube.com/watch?v=08N-S2d1sX0,1760만 구독자 찍고 잠적해버린 레전드 유튜버의 소름돋는 근황....,UCfbn_7tdW97URJyy865cIdA,1325963,861.0,2022-11-15,Music,1,음악,211000.0,58573658.0,361566.0,0.1597799461912219,111.0,15.0,3.66727789670489,8.78,"['독자', '찍고', '잠적', '해', '버린', '레전드', '유튜버', '소름', '돋는', '근황']",https://img.youtube.com/vi/08N-S2d1sX0/0.jpg,"['Eyelash', 'Flash photography', 'Jaw', 'Black hair', 'Font', 'Audio equipment', 'Technology', 'Electronic device', 'Multimedia', 'Happy']","[(11.0, 14.0, 10.0), (184.0, 198.0, 201.0), (97.0, 82.0, 57.0), (230.0, 238.0, 240.0)]","SONY
???
JFlaMusic
구독자 1700만명
""전 겁쟁이였어요...""",0.12,['음악'],"['독자', '전', '겁쟁이', '였어요']","['속눈썹', '플래시 촬영', '턱', '흑발', '폰트', '오디오 장비', '기술', '전자 기기', '멀티미디어', '행복하다']"
https://www.youtube.com/watch?v=QP_AExw-QZY,"그랜저 방향지시등, 아우디야? #shorts",UCCE4oHV3UzJAEiZWuyqBt7g,133531,491.0,2022-12-10,Autos & Vehicles,1,자동차,39000.0,41434447.0,38365.0,0.0430470224470947,86.0,12.0,3.4805421608236675,0.73,"['그랜저', '방향', '지시', '등', '아우디']",https://img.youtube.com/vi/QP_AExw-QZY/0.jpg,"['Automotive parking light', 'Automotive tail & brake light', 'Automotive lighting', 'Automotive tire', 'Motor vehicle', 'Automotive design', 'Vehicle registration plate', 'Vehicle', 'Bumper', 'Vehicle door']","[(240.0, 242.0, 31.0), (194.0, 195.0, 196.0), (203.0, 200.0, 40.0), (116.0, 124.0, 11.0)]","AG
Con
ww2
Ae
'주르륵주르륵
065
FRANDEUR
그랜저",0.11,['자동차'],"['주르륵주르륵', '그랜저']","['자동차 주차등', '자동차 후미등 및 제동등', '자동차 조명', '자동차 타이어', '자동차', '자동차 디자인', '차량 번호판', '차량', '범퍼', '차량 문']"
https://www.youtube.com/watch?v=NoDVkM2K9u4,배달하는데 20대 소리 들었습니다 감동 실화 블랙박스 영상 김톰슨,UCjdtJTIpHyfSnt4_7hjptdg,3181,5.0,2023-01-12,Autos & Vehicles,1,자동차,7660.0,5367245.0,924.0,0.0430470224470947,53.0,7.0,3.4426406926406927,0.25,"['배달', '하는데', '대', '소리', '들었습니다', '감동', '실화', '블랙박스', '영상', '김', '톰슨']",https://img.youtube.com/vi/NoDVkM2K9u4/0.jpg,"['Gadget', 'Display device', 'Magenta', 'Multimedia', 'Technology', 'Electronic device', 'Flat panel display', 'Font', 'Room', 'Leisure']","[(201.0, 79.0, 102.0), (253.0, 143.0, 204.0), (239.0, 120.0, 164.0), (127.0, 249.0, 250.0)]","10
배달하고 있는데
20대 소리 들었어요
VONG",0.05,['자동차'],"['배달', '있는데', '대', '소리', '들었어요']","['간단한 기계 장치', '디스플레이 장치', '마젠타', '멀티미디어', '기술', '전자 기기', '평면 패널 디스플레이', '폰트', '방', '여가']"
